name: Louis, surname: Monaco, height: 5′ 11″   /   180cm, reach: 80″   /   203cm, length: 23.0, 
name: Bryant, surname: Jennings, height: 6′ 3″   /   191cm, reach: 84″   /   213cm, length: 22.0, 
name: Luis, surname: Ortiz, height: 6′ 4″   /   193cm, reach: 84″   /   213cm, length: 20.0, 
name: Oliver, surname: McCall, height: 6′ 2″   /   188cm, reach: 82″   /   208cm, length: 20.0, 
name: Hasim, surname: Rahman, height: 6′ 2½″   /   189cm, reach: 82″   /   208cm, length: 19.0, 
name: Steve, surname: Cunningham, height: 6′ 3″   /   190cm, reach: 82″   /   208cm, length: 18.0, 
name: Carlos, surname: Cotto, height: 5′ 11″   /   180cm, reach: 78″   /   198cm, length: 18.0, 
name: Ray, surname: Lunsford, height: 6′ 0″   /   183cm, reach: 79″   /   201cm, length: 18.0, 
name: Kevin, surname: Johnson, height: 6′ 3″   /   191cm, reach: 82″   /   208cm, length: 17.0, 
name: Michael, surname: Grant, height: 6′ 7″   /   201cm, reach: 86″   /   218cm, length: 17.0, 
name: Eric, surname: Newell, height: 6′ 3″   /   191cm, reach: 82″   /   208cm, length: 17.0, 
name: Bermane, surname: Stiverne, height: 6′ 2″   /   188cm, reach: 80″   /   203cm, length: 15.0, 
name: Fres, surname: Oquendo, height: 6′ 2″   /   188cm, reach: 80″   /   203cm, length: 15.0, 
name: Alexis, surname: Santos, height: 6′ 0″   /   183cm, reach: 78″   /   198cm, length: 15.0, 
name: Stacy, surname: Frazier, height: 6′ 5″   /   196cm, reach: 83″   /   211cm, length: 15.0, 
name: Danny, surname: Kelly, height: 6′ 3″   /   191cm, reach: 81″   /   206cm, length: 15.0, 
name: Rafael, surname: Pedro, height: 6′ 7″   /   201cm, reach: 85″   /   216cm, length: 15.0, 
name: Andrae, surname: Carthron, height: 6′ 0″   /   183cm, reach: 78″   /   198cm, length: 15.0, 
name: Odlanier, surname: Solis, height: 6′ 1½″   /   187cm, reach: 79″   /   201cm, length: 14.0, 
name: Raymond, surname: Ochieng, height: 6′ 3½″   /   192cm, reach: 81″   /   206cm, length: 14.0, 
name: Travis, surname: Walker, height: 6′ 4½″   /   194cm, reach: 82″   /   208cm, length: 14.0, 
name: Malik, surname: Scott, height: 6′ 4″   /   193cm, reach: 81″   /   206cm, length: 13.0, 
name: Darnell, surname: Wilson, height: 5′ 10″   /   178cm, reach: 75″   /   191cm, length: 13.0, 
name: Sherman, surname: Williams, height: 5′ 11″   /   180cm, reach: 76″   /   193cm, length: 13.0, 
name: Kertson, surname: Manswell, height: 6′ 4″   /   193cm, reach: 81″   /   206cm, length: 13.0, 
name: Don Diego, surname: Poeder, height: 6′ 1″   /   185cm, reach: 78″   /   198cm, length: 13.0, 
name: Lenroy, surname: Thomas, height: 6′ 2½″   /   189cm, reach: 79″   /   201cm, length: 12.0, 
name: Sylvester, surname: Barron, height: 6′ 3″   /   191cm, reach: 80″   /   203cm, length: 12.0, 
name: Deontay, surname: Wilder, height: 6′ 6½″   /   200cm, reach: 83″   /   211cm, length: 11.0, 
name: Tony, surname: Thompson, height: 6′ 5″   /   196cm, reach: 81½″   /   207cm, length: 11.0, 
name: Tyson, surname: Fury, height: 6′ 9″   /   206cm, reach: 85″   /   216cm, length: 10.0, 
name: Kali, surname: Meehan, height: 6′ 5″   /   196cm, reach: 81″   /   206cm, length: 10.0, 
name: Gerald, surname: Washington, height: 6′ 6″   /   198cm, reach: 82″   /   208cm, length: 10.0, 
name: Zoltan, surname: Petranyi, height: 6′ 1″   /   186cm, reach: 77″   /   196cm, length: 10.0, 
name: Shannon, surname: Briggs, height: 6′ 4″   /   193cm, reach: 80″   /   203cm, length: 10.0, 
name: Maurice, surname: Harris, height: 6′ 4″   /   193cm, reach: 80″   /   203cm, length: 10.0, 
name: Nagy, surname: Aguilera, height: 6′ 3″   /   191cm, reach: 79″   /   201cm, length: 10.0, 
